StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q54,pos1,pos2,pos3,pos4,pos5,inc1,inc2,inc3,inc4,neut1,neut2,neut3,neut4,neut5,Data Sharing Fundame,datashare_opinion,datashare_behavior,datashare_b_percent_1,datashare_b_first_1,datashare_b_whynot,datashare_b_whynot_17_TEXT,datashare_b_others_1,datasure_o_others_1,datasure_o_others_2,datasure_o_others_3,datasure_o_others_4,datasure_o_others_5,Preregistration Fund,prereg_opinion,prereg_behavior,prereg_b_percent_1,prereg_p_first_1,prereg_b_whynot,prereg_b_whynot_14_TEXT,prereg_b_hesitate,prereg_b_hesitate_14_TEXT,prereg_b_future,prereg_b_future_14_TEXT,prereg_b_others_1,prereg_o_others_1,prereg_o_others_2,prereg_o_others_3,prereg_o_others_4,prereg_o_others_5,Q4,OA_opinion,OA_behavior,OA_b_percent_1,OA_b_when_1,OA_b_whynot,OA_b_whynot_12_TEXT,OA_b_hesitate,OA_b_hesitate_12_TEXT,OA_b_future,OA_b_future_12_TEXT,OA_b_others_1,OA_o_others_1,OA_o_others_2,OA_o_others_3,OA_o_others_4,OA_o_others_5,Q14,replication_opinion,replication_behavior,replication_b_percen_1,replication_b_when_1,replication_b_whynot,replication_b_whynot_13_TEXT,rep_b_hesitate,rep_b_hesitate_13_TEXT,rep_b_future,rep_b_future_13_TEXT,rep_b_others_1,rep_o_others_1,rep_o_others_2,rep_o_others_3,rep_o_others_4,rep_o_others_5,years,gender,gender_3_TEXT,identifyResearch,identifyScience,discipline,qualquant,method,qualquantField_1,qualquantField_2,comments
2/12/26 13:03,2/12/26 13:03,IP Address,*******,100,44,TRUE,2/12/26 13:04,R_1iqDHl0K1KRX84I,*******,*******,*******,*******,*******,*******,email,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/26 13:09,2/12/26 13:16,IP Address,*******,100,437,TRUE,2/12/26 13:16,R_3f3jbOyMS927Yyt,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,,In favor,No,,,"I didn't perceive my field to be in favor of this,It didn't seem relevant for my work",,,0,0,0,0,0,,Very much in favor,No,,,"I didn’t perceive my field to be in favor of this,I didn’t know of a suitable registry,It didn’t seem relevant for my work,I didn’t think it was important",,,,,,5,0,0,0,0,0,,In favor,No,,,Journal policy prevented it,,,,,,30,0,0,0,0,0,,Very much in favor,No,,,"Given the nature of the research, it was not possible",,,,,,60,0,0,0,0,0,15 years,Man,,A moderate amount,Not at all,Education,Qualitative,Case study,30,70,
2/12/26 13:33,2/12/26 13:48,IP Address,*******,100,860,TRUE,2/12/26 13:48,R_5ZEuUK25bFzxCTa,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,,In favor,Yes,70,2022,,,70,30,30,20,5,15,,In favor,Yes,50,2021,,,Other:,Worried about possible amount of deviations that may occur,,,60,20,30,20,10,20,,Very much in favor,Yes,80,2024,,,Journal policy almost prevented it,,,,45,40,30,15,10,5,,Very much in favor,No,,,"It was too time consuming,It didn’t seem relevant for my work",,,,,,20,20,20,40,10,10,9,Man,,A moderate amount,A moderate amount,Psychology,Quantitative,Longitudinal designs,90,10,
2/12/26 13:16,2/12/26 14:32,IP Address,*******,100,4562,TRUE,2/12/26 14:32,R_5BxrkSaMWgfnDKp,*******,*******,*******,*******,*******,*******,email,EN,Yes,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,,Very much in favor,Yes,100,,,,20,20,40,20,15,5,,In favor,I do not have a scholarly work reporting studies,,,,,,,"I don’t want others to use my plans for their own research,I am worried it would reduce publishability of my findings",,9,10,20,35,25,10,,Very much in favor,I have not published a scholarly work,,,,,,,Journal policy prevents it,,20,20,40,20,20,5,,In favor,I do not have a scholarly work reporting relevant research,,,,,,,"I don’t have sufficient resources available,It doesn’t seem relevant for my work",,,0,0,0,0,0,2,Woman,,A moderate amount,A little,,Quantitative,Experimental ,100,0,
2/12/26 15:06,2/12/26 15:14,IP Address,*******,100,464,TRUE,2/12/26 15:14,R_6IyGDIuiMQOBoxr,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,,Against,No,,,"I didn't perceive my field to be in favor of this,I was nervous that someone would discover a mistake,I didn't want to lose control over how the data were used",,19,5,20,50,20,5,,Very much against,No,,,"It was too time consuming,It was too difficult,I didn’t want others to use my plans for their own research,I was unfamiliar with the practice,I didn’t think it was important,I was worried it would reduce publishability of my findings,I won’t be rewarded for it,Other:",So much work ,,,,,7,0,0,5,0,95,,Very much against,No,,,"I won’t be rewarded for it,Other:","Open access often has less stringent review policies, so it won't count in P&T.  Some open access if pay to publish, so basically it comes down to those with funding get to publish. ",,,,,22,30,15,10,15,30,,Very much in favor,No,,,"I didn’t perceive my field to be in favor of this,Given the nature of the research, it was not possible,My collaborators were opposed to doing it",,,,,,10,5,5,5,10,70,25,Woman,,A little,A lot,Cognitive Psychology ,Quantitative,Experimental design/survey,10,90,
2/12/26 15:40,2/12/26 15:48,IP Address,*******,100,515,TRUE,2/12/26 15:48,R_6DM7CdkNTq1UgGt,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,,Very much in favor,No,,,"The data were too difficult to anonymize (human subjects),I didn't perceive my field to be in favor of this",,20,41,32,51,50,36,,In favor,I do not have a scholarly work reporting studies,,,,,,,I don’t perceive my field to be in favor of this,,5,9,9,88,2,2,,Very much in favor,No,,,"I didn’t have sufficient resources available,Given the nature of the research, it was not possible,My collaborators were opposed to doing it,Journal policy prevented it",,,,,,51,73,62,49,13,1,,Neither in favor nor against,No,,,I didn’t perceive my field to be in favor of this,,,,,,3,30,28,28,55,58,7,Woman,,A great deal,A moderate amount,sociology,Qualitative,"interviews, ethnography, participant research",51,49,
2/3/26 20:54,2/12/26 18:32,IP Address,*******,100,769102,TRUE,2/12/26 18:32,R_5q7FHuv1TYsRcPL,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,,Very much in favor,Yes,50,2024,,,20,20,60,10,10,0,,Very much in favor,No,,,,,,,,,10,30,30,40,0,0,,Very much in favor,Yes,80,2024,,,"I didn’t perceive my field to be in favor of this,I didn’t have sufficient resources available",,,,30,30,50,20,0,0,,Very much in favor,No,,,,,,,,,20,60,40,0,0,0,3,Man,,Not at all,A moderate amount,economics,Quantitative,"big data, causal inference, structural estimation",15,85,
2/13/26 7:24,2/13/26 8:03,IP Address,*******,100,2343,TRUE,2/13/26 8:03,R_5P22OsEMAQ6jjYf,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,,In favor,Yes,60,2025,,,40,20,15,20,25,20,,In favor,No,,,"I didn’t perceive my field to be in favor of this,I was unfamiliar with the practice,I didn’t know of a suitable registry,It didn’t seem relevant for my work,I was worried it would reduce publishability of my findings",,,,,,10,5,15,30,25,25,,Very much in favor,Yes,70,2025,,,"I didn’t have sufficient resources available,Journal policy almost prevented it",,,,40,30,30,10,20,10,,Very much in favor,No,,,"I didn’t perceive my field to be in favor of this,I didn’t have sufficient resources available,Given the nature of the research, it was not possible,It didn’t seem relevant for my work,I couldn’t access the necessary data, materials, or code",,,,,,10,20,20,30,20,10,5,Woman,,A lot,A lot,Sociology & Demography,Quantitative,Secondary data analysis of large national surveys; demographic methods,50,50,
2/13/26 8:35,2/13/26 9:11,IP Address,*******,100,2167,TRUE,2/13/26 9:11,R_5aET0Ls37ejxZbv,*******,*******,*******,*******,*******,*******,email,EN,Yes,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,,Very much in favor,Yes,98,1964,,,75,95,5,0,0,0,,Neither in favor nor against,No,,,,,,,,,10,0,0,100,0,0,,Very much in favor,Yes,100,1964,,,,,,,85,95,0,5,0,0,,Very much in favor,No,,,,,,,,,2,100,0,0,0,0,65,Man,,A great deal,A great deal,Sociology,Quantitative,Big data,35,65,"Regarding the questions about preregistration, the only similar procedure in Sociology of which I am aware, is going through Institutional Review Board (IRB) approval.  While I agree with IRB requirement in principle, my experience was that the members of the IRB often did not have a sufficient understanding of ""scientific research"" to make rational decisions."
2/13/26 15:21,2/13/26 15:29,IP Address,*******,100,474,TRUE,2/13/26 15:29,R_6s0qCLS4y4VBzXe,*******,*******,*******,*******,*******,*******,email,EN,Yes,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,,Neither in favor nor against,No,,,The data were proprietary or access was restricted,,,50,0,0,0,50,,Very much in favor,Yes,19,2025,,,It was too time consuming,,,,10,100,0,0,0,0,,Very much in favor,No,,,I was unfamiliar with the practice,,,,,,9,100,0,0,0,0,,Very much in favor,No,,,"It was too time consuming,I didn’t have sufficient resources available",,,,,,9,90,0,0,0,10,5,Woman,,A great deal,A great deal,accounting,Quantitative,surveys,20,80,
2/14/26 11:34,2/14/26 11:43,IP Address,*******,100,563,TRUE,2/14/26 11:43,R_6mgtig0fZQuTqTy,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,,In favor,No,,,,,5,10,20,40,20,10,,In favor,No,,,I didn’t perceive my field to be in favor of this,,,,,,0,0,30,40,30,0,,Very much in favor,No,,,I didn’t have sufficient resources available,,,,,,20,80,10,10,0,0,,Very much in favor,Yes,100,2023,,,,,,,25,20,30,30,15,5,6,Man,,A great deal,A great deal,Sociology,Quantitative,Statistical regression models.,30,70,
2/14/26 11:44,2/14/26 11:44,IP Address,*******,100,49,TRUE,2/14/26 11:44,R_3kUlk85doKZMJPu,*******,*******,*******,*******,*******,*******,email,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/14/26 20:45,2/14/26 21:06,IP Address,*******,100,1211,TRUE,2/14/26 21:06,R_60uLVgKebWnFe2R,*******,*******,*******,*******,*******,*******,email,EN,Yes,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree,,Very much in favor,Yes,32,1985,,,47,1,57,42,0,0,,Neither in favor nor against,No,,,"I didn’t want others to use my plans for their own research,I didn’t know of a suitable registry,I was worried it would reduce publishability of my findings",,,,,,3,0,0,100,0,0,,Very much in favor,No,,,"I didn’t perceive my field to be in favor of this,I won’t be rewarded for it",,,,,,44,0,0,100,0,0,,Very much in favor,No,,,"I didn’t perceive my field to be in favor of this,Given the nature of the research, it was not possible,It didn’t seem relevant for my work,I won’t be rewarded for it",,,,,,11,0,30,70,0,0,50,Woman,,A great deal,A lot,Sociology ,Quantitative,Questionare,31,69,
2/15/26 7:52,2/15/26 8:00,IP Address,*******,100,487,TRUE,2/15/26 8:00,R_5hgBIrAx8WCmObZ,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,,Very much in favor,Yes,30,2025,,,20,0,0,0,0,0,,In favor,No,,,It didn’t seem relevant for my work,,,,,,40,0,0,0,0,0,,Very much in favor,Yes,100,2025,,,I didn’t have sufficient resources available,,,,50,0,0,0,0,0,,In favor,No,,,It didn’t seem relevant for my work,,,,,,30,20,10,30,20,0,5,Woman,,A moderate amount,A lot,Anthropology ,Quantitative,"GIS, social network analysis, agent-based modeling",10,90,
2/15/26 10:46,2/15/26 11:02,IP Address,*******,100,975,TRUE,2/15/26 11:02,R_1V4M2fPSo9T3j6H,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,,Neither in favor nor against,I do not have a scholarly work that used data,,,,,38,5,30,50,10,5,,Neither in favor nor against,I do not have a scholarly work reporting studies,,,,,,,"It is too time consuming,I don’t want others to use my plans for their own research,I am nervous that someone would discover a mistake,I am unfamiliar with the practice,I don’t know of a suitable registry,I am worried it would reduce publishability of my findings",,0,5,5,20,20,50,,Very much in favor,I have not published a scholarly work,,,,,,,"I am unfamiliar with the practice,I don’t have sufficient resources available,Given the nature of the research, it is not possible",,19,20,20,20,20,20,,Very much in favor,I do not have a scholarly work reporting relevant research,,,,,,,Other:,,0,10,15,20,40,15,8,Woman,,A little,A little,,Qualitative,,70,30,
2/15/26 10:54,2/15/26 11:05,IP Address,*******,100,670,TRUE,2/15/26 11:05,R_62ml79UNQ46fSfs,*******,*******,*******,*******,*******,*******,email,EN,Yes,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,,Against,No,,,"I didn't want others to use the data for their own research,The data were too difficult to anonymize (human subjects),I didn't perceive my field to be in favor of this",,20,5,10,30,35,20,,Against,Yes,80,2024,,,"I didn’t perceive my field to be in favor of this,I didn’t know of a suitable registry",,,,50,10,30,20,30,10,,Very much in favor,I have not published a scholarly work,,,,,,,Journal policy prevents it,,75,80,10,0,5,5,,Neither in favor nor against,No,,,"I didn’t perceive my field to be in favor of this,I didn’t think it was important,Given the nature of the research, it was not possible,It didn’t seem relevant for my work",,,,,,5,0,5,0,45,50,6,Man,,A lot,A little,Anthropology,Qualitative,Ethnography,95,5,
2/3/26 14:00,2/16/26 9:33,IP Address,*******,100,1107178,TRUE,2/16/26 9:33,R_1vCrlNWLF5vNNu1,*******,*******,*******,*******,*******,*******,email,EN,Yes,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,,Very much in favor,Yes,90,2022,,,50,45,25,15,10,5,,Neither in favor nor against,No,,,I was unfamiliar with the practice,,,,,,15,0,0,100,0,0,,Very much in favor,No,,,"I didn’t have sufficient resources available,Journal policy prevented it",,,,,,40,60,35,5,0,0,,In favor,No,,,It didn’t seem relevant for my work,,,,,,35,10,25,45,20,0,8,Woman,,A lot,A lot,Biological Anthropology,Quantitative,computational analysis,25,75,
2/16/26 9:35,2/16/26 9:49,IP Address,*******,100,791,TRUE,2/16/26 9:49,R_13f4RetlMoP0Wmu,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,,In favor,Yes,25,2019,,,25,25,35,20,20,0,,Very much in favor,I do not have a scholarly work reporting studies,,,,,,,"I am unfamiliar with the practice,It doesn’t seem relevant for my work",,10,20,20,20,20,20,,Very much in favor,I have not published a scholarly work,,,,,,,Journal policy prevents it,,50,25,50,25,0,0,,In favor,Yes,20,2021,,,"It was too time consuming,I didn’t think it was important,I won’t be rewarded for it,I almost couldn’t access the necessary data, materials, or code",,,,20,10,20,10,40,20,5,Man,,A moderate amount,A moderate amount,Economics,Quantitative,Statistical analysis and Mathematical modeling,25,75,
2/16/26 10:21,2/16/26 10:30,IP Address,*******,100,576,TRUE,2/16/26 10:30,R_3K29ExvRdYbAUCK,*******,*******,*******,*******,*******,*******,email,EN,Yes,Neither agree nor disagree,Somewhat disagree,Somewhat agree,,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,,Very much in favor,No,,,The data were proprietary or access was restricted,,90,80,10,0,10,0,,Very much in favor,I do not have a scholarly work reporting studies,,,,,,,,,60,50,20,20,10,0,,Very much in favor,I have not published a scholarly work,,,,,,,"I don’t have sufficient resources available,Journal policy prevents it",,60,20,40,30,10,0,,Very much in favor,I do not have a scholarly work reporting relevant research,,,,,,,It doesn’t seem relevant for my work,,0,0,0,0,0,0,7,Woman,,A moderate amount,A little,Economics,Quantitative,"Quasi-experimental design, Econometric analysis, big data",5,95,
2/16/26 11:19,2/16/26 11:28,IP Address,*******,100,548,TRUE,2/16/26 11:28,R_67DqQVAOM1cMe9b,*******,*******,*******,*******,*******,*******,email,EN,Yes,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,,In favor,No,,,"The data were too difficult to anonymize (human subjects),I didn't want to lose control over how the data were used",,20,10,40,10,20,20,,Neither in favor nor against,No,,,"I didn’t think it was important,I won’t be rewarded for it",,,,,,40,10,30,10,40,10,,Very much in favor,No,,,I didn’t have sufficient resources available,,,,,,40,20,30,10,20,20,,Very much in favor,No,,,"Given the nature of the research, it was not possible",,,,,,10,20,30,10,30,10,15,Man,,A moderate amount,A lot,I am a graduate student in sociology,Qualitative,"Recorded interviews, ethnography, archival research",40,60,"I would take most of my own responses here with many grains of salt, since questionnaire questions do not allow me to clearly differentiate the meanings I would ascribe to keywords as ""objectivity"", ""science"" etc."
2/16/26 11:20,2/16/26 12:16,IP Address,*******,100,3302,TRUE,2/16/26 12:16,R_63fp9YgNqPzMeml,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,,In favor,No,,,Other:,there was no mechanism for sharing,10,0,30,50,30,0,,No opinion,No,,,,,,,,,1,0,0,0,0,0,,Very much in favor,Yes,70,2018,,,I didn’t have sufficient resources available,,,,90,90,5,5,0,0,,Very much in favor,No,,,It didn’t seem relevant for my work,,,,,,95,90,10,0,0,0,10,Woman,,A lot,A lot,"Positive Organizational Psychology, Evaluation, and Applied Research Methods",Qualitative,cross-sectional studies,20,80,
2/3/26 14:39,2/16/26 14:26,IP Address,*******,100,1122395,TRUE,2/16/26 14:26,R_6g5P8IICWadnq28,*******,*******,*******,*******,*******,*******,email,EN,Yes,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,,Very much in favor,I do not have a scholarly work that used data,,,,,,0,0,0,0,0,,In favor,No,,,I was unfamiliar with the practice,,,,,,,0,0,100,0,0,,Very much in favor,Yes,100,2021,,,,,,,40,100,0,0,0,0,,Neither in favor nor against,I do not have a scholarly work reporting relevant research,,,,,,,I don’t perceive my field to be in favor of this,,5,0,0,100,0,0,3,Woman,,A lot,A little,Education,Qualitative,Design based research,65,35,
2/16/26 14:33,2/16/26 14:51,IP Address,*******,100,1121,TRUE,2/16/26 14:51,R_7sZeRquF6q7bpOV,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,,In favor,No,,,"I didn't want others to use the data for their own research,I didn't know of a suitable repository",,13,20,60,10,10,0,,Neither in favor nor against,No,,,"I didn’t know of a suitable registry,It didn’t seem relevant for my work",,,,,,10,25,25,30,15,5,,Neither in favor nor against,No,,,"Given the nature of the research, it was not possible,Journal policy prevented it",,,,,,15,25,25,20,15,15,,Very much in favor,No,,,,"I don't really understand the question--did it mean done a replication study, discussed a replication study when reviewing previous research, or something else?",,,,,5,27,28,15,20,10,40,Man,,A lot,A lot,sociology,Quantitative,"regression and related analysis, mostly with survey data",51,49,
2/10/26 16:06,2/17/26 11:25,IP Address,*******,100,587894,TRUE,2/17/26 11:25,R_33rv2eYFurjJ9Uf,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,,Neither in favor nor against,No,,,The data were proprietary or access was restricted,,30,20,10,10,30,30,,In favor,I do not have a scholarly work reporting studies,,,,,,,I am worried it would reduce publishability of my findings,,20,0,0,30,50,20,,Very much in favor,No,,,"I didn’t have sufficient resources available,Journal policy prevented it",,,,,,30,20,30,50,0,0,,In favor,I do not have a scholarly work reporting relevant research,,,,,,,"I don’t perceive my field to be in favor of this,Given the nature of the research, it won’t be possible",,40,50,30,20,0,0,5,Man,,A moderate amount,A little,Sociology,Qualitative,In-depth interviews,35,65,
2/3/26 13:50,2/3/26 13:51,IP Address,*******,3,7,FALSE,2/17/26 13:51,R_5OAdzdPyjTG74dj,*******,*******,*******,*******,*******,*******,email,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/3/26 13:51,2/3/26 13:53,IP Address,*******,3,116,FALSE,2/17/26 13:53,R_3f2ITKQ0E4p67HH,*******,*******,*******,*******,*******,*******,email,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/3/26 13:53,2/3/26 13:54,IP Address,*******,3,8,FALSE,2/17/26 13:54,R_3Pk66Ei5d8S423L,*******,*******,*******,*******,*******,*******,email,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/3/26 13:52,2/3/26 13:54,IP Address,*******,3,96,FALSE,2/17/26 13:54,R_1tIpZNvZp8EnkE9,*******,*******,*******,*******,*******,*******,email,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/3/26 13:52,2/3/26 13:54,IP Address,*******,30,107,FALSE,2/17/26 13:54,R_6OXw3eflRERPLKV,*******,*******,*******,*******,*******,*******,email,EN,Yes,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,,,,,,,,,,,,,,In favor,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/3/26 13:54,2/3/26 13:55,IP Address,*******,3,12,FALSE,2/17/26 13:55,R_7FXQWaMEKK2mDbo,*******,*******,*******,*******,*******,*******,email,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/3/26 13:54,2/3/26 13:55,IP Address,*******,3,14,FALSE,2/17/26 13:55,R_1itH3miKeKF3eWl,*******,*******,*******,*******,*******,*******,email,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/3/26 13:51,2/3/26 13:55,IP Address,*******,54,242,FALSE,2/17/26 13:55,R_5y2VUiuauKD74k9,*******,*******,*******,*******,*******,*******,email,EN,Yes,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,,Very much in favor,Yes,100,,,,,0,0,0,0,0,,Very much in favor,Yes,100,2025,,,,,,,20,31,53,53,31,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/3/26 13:55,2/3/26 13:55,IP Address,*******,3,18,FALSE,2/17/26 13:55,R_3s1DwEhOEg0IJK6,*******,*******,*******,*******,*******,*******,email,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/3/26 13:54,2/3/26 13:56,IP Address,*******,3,67,FALSE,2/17/26 13:56,R_71iwTdNp8Q8z7WM,*******,*******,*******,*******,*******,*******,email,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/3/26 13:56,2/3/26 13:56,IP Address,*******,3,11,FALSE,2/17/26 13:56,R_3jlChzTxo1RsdPP,*******,*******,*******,*******,*******,*******,email,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
